MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
c0:ac:54:f8:87:b6,HOTBOX-4812,projectMap.Wifi@355da254,13/11/2017 17:42,1.0,-50.0,32.06148439,34.77270189,46.0,6.0,WIFI
8c:0c:90:0e:a8:c8,C,projectMap.Wifi@4dc63996,13/11/2017 17:42,11.0,-50.0,32.06148439,34.77270189,46.0,6.0,WIFI
7c:b7:33:ea:a4:2e,HOTFiber-5275,projectMap.Wifi@d716361,13/11/2017 17:42,1.0,-76.0,32.06148439,34.77270189,46.0,6.0,WIFI
f8:e7:1e:1d:24:68,TECHCODE,projectMap.Wifi@6ff3c5b5,13/11/2017 17:42,4.0,-81.0,32.06148645,34.77269978,47.0,4.0,WIFI
60:e3:27:d9:e8:32,Roomer-DEV,projectMap.Wifi@3764951d,13/11/2017 17:42,6.0,-81.0,32.06148645,34.77269978,47.0,4.0,WIFI
f8:e7:1e:5d:24:68,TECHCODE-Guest,projectMap.Wifi@4b1210ee,13/11/2017 17:42,4.0,-82.0,32.06148439,34.77270189,46.0,6.0,WIFI
14:af:db:31:86:ba,BezeqFree,projectMap.Wifi@4d7e1886,13/11/2017 17:42,2.0,-88.0,32.06148439,34.77270189,46.0,6.0,WIFI
a0:4f:d4:46:07:41,NADAV,projectMap.Wifi@3cd1a2f1,13/11/2017 17:42,1.0,-89.0,32.06148645,34.77269978,47.0,4.0,WIFI
a0:4f:d4:2a:d7:e1,Or_2.4,projectMap.Wifi@2f0e140b,13/11/2017 17:42,1.0,-89.0,32.06148439,34.77270189,46.0,6.0,WIFI
14:ae:db:31:86:ba,sinergia,projectMap.Wifi@7440e464,13/11/2017 17:42,2.0,-89.0,32.06148439,34.77270189,46.0,6.0,WIFI
